trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.3, 'e': 0.5699999999999996}",20,0,-143.25386397163288,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
44,False,"{'a': 0.3, 'e': 0.5599999999999996}",25,5,-104.05734300061589,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",1
45,False,"{'a': 0.3, 'e': 0.5499999999999996}",30,15,1.191227540580188,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.5399999999999996}",30,0,-43.49217838476721,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.3, 'e': 0.5299999999999996}",25,0,-188.21025599557305,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
48,False,"{'a': 0.3, 'e': 0.5199999999999996}",35,16,-108.70756199809348,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
49,False,"{'a': 0.3, 'e': 0.5099999999999996}",20,6,-52.85244196281684,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.3, 'e': 0.49999999999999956}",25,8,-36.64730223853574,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.3, 'e': 0.48999999999999955}",20,0,-30.05609727857669,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.3, 'e': 0.47999999999999954}",30,12,-12.321311073139842,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.3, 'e': 0.46999999999999953}",25,2,-2.9527327790583873,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.3, 'e': 0.4599999999999995}",25,2,-66.60377213179353,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.3, 'e': 0.4499999999999995}",25,7,10.92171587510978,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.4399999999999995}",20,0,-117.16898972304197,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
57,False,"{'a': 0.3, 'e': 0.4299999999999995}",25,0,7.940929482684588,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
58,False,"{'a': 0.3, 'e': 0.4199999999999995}",20,0,-30.228117604157667,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.3, 'e': 0.4099999999999995}",25,14,-3.450883816827586,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.3, 'e': 0.39999999999999947}",25,10,-0.03412244535908693,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.3, 'e': 0.38999999999999946}",20,0,-11.057567703648221,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.3, 'e': 0.37999999999999945}",25,0,-15.491511848963437,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.3, 'e': 0.36999999999999944}",25,12,10.516829933040945,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.3, 'e': 0.35999999999999943}",25,0,-11.171842663170047,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.3, 'e': 0.3499999999999994}",20,0,-9.488359432593276,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.3, 'e': 0.3399999999999994}",25,9,2.4989115895187495,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.3299999999999994}",20,0,-20.246384971996964,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
68,False,"{'a': 0.3, 'e': 0.3199999999999994}",20,0,-16.524446491688444,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.3, 'e': 0.3099999999999994}",20,0,-107.27704852191815,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
70,False,"{'a': 0.3, 'e': 0.2999999999999994}",20,7,-39.72629331236261,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.3, 'e': 0.28999999999999937}",20,8,5.689128946302794,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.27999999999999936}",25,0,-2.3273692571424984,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.3, 'e': 0.26999999999999935}",20,0,14.465945486962564,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.3, 'e': 0.25999999999999934}",20,0,-4.813059356616519,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.3, 'e': 0.24999999999999933}",20,5,-15.288719776505559,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.3, 'e': 0.23999999999999932}",25,0,-21.79135797917294,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
